ID,XMIN,XMAX,YMIN,YMAX,PNTCNT,XCTR,YCTR
0,581379.000000000000000,581879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,581629.00000,5206034.00000
1,581879.000000000000000,582379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,582129.00000,5206034.00000
2,582379.000000000000000,582879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,582629.00000,5206034.00000
3,582879.000000000000000,583379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,583129.00000,5206034.00000
4,583379.000000000000000,583879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,583629.00000,5206034.00000
5,583879.000000000000000,584379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,584129.00000,5206034.00000
6,584379.000000000000000,584879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,584629.00000,5206034.00000
7,584879.000000000000000,585379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,585129.00000,5206034.00000
8,585379.000000000000000,585879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,585629.00000,5206034.00000
9,585879.000000000000000,586379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,586129.00000,5206034.00000
10,586379.000000000000000,586879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,586629.00000,5206034.00000
11,586879.000000000000000,587379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,587129.00000,5206034.00000
12,587379.000000000000000,587879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,587629.00000,5206034.00000
13,587879.000000000000000,588379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,588129.00000,5206034.00000
14,588379.000000000000000,588879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,588629.00000,5206034.00000
15,588879.000000000000000,589379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,589129.00000,5206034.00000
16,589379.000000000000000,589879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,589629.00000,5206034.00000
17,589879.000000000000000,590379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,590129.00000,5206034.00000
18,590379.000000000000000,590879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,590629.00000,5206034.00000
19,590879.000000000000000,591379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,591129.00000,5206034.00000
20,591379.000000000000000,591879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,591629.00000,5206034.00000
21,591879.000000000000000,592379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,592129.00000,5206034.00000
22,592379.000000000000000,592879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,592629.00000,5206034.00000
23,592879.000000000000000,593379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,593129.00000,5206034.00000
24,593379.000000000000000,593879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,593629.00000,5206034.00000
25,593879.000000000000000,594379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,594129.00000,5206034.00000
26,594379.000000000000000,594879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,594629.00000,5206034.00000
27,594879.000000000000000,595379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,595129.00000,5206034.00000
28,595379.000000000000000,595879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,595629.00000,5206034.00000
29,595879.000000000000000,596379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,596129.00000,5206034.00000
30,596379.000000000000000,596879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,596629.00000,5206034.00000
31,596879.000000000000000,597379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,597129.00000,5206034.00000
32,597379.000000000000000,597879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,597629.00000,5206034.00000
33,597879.000000000000000,598379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,598129.00000,5206034.00000
34,598379.000000000000000,598879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,598629.00000,5206034.00000
35,598879.000000000000000,599379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,599129.00000,5206034.00000
36,599379.000000000000000,599879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,599629.00000,5206034.00000
37,599879.000000000000000,600379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,600129.00000,5206034.00000
38,600379.000000000000000,600879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,600629.00000,5206034.00000
39,600879.000000000000000,601379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,601129.00000,5206034.00000
40,601379.000000000000000,601879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,601629.00000,5206034.00000
41,601879.000000000000000,602379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,602129.00000,5206034.00000
42,602379.000000000000000,602879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,602629.00000,5206034.00000
43,602879.000000000000000,603379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,603129.00000,5206034.00000
44,603379.000000000000000,603879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,603629.00000,5206034.00000
45,603879.000000000000000,604379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,604129.00000,5206034.00000
46,604379.000000000000000,604879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,604629.00000,5206034.00000
47,604879.000000000000000,605379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,605129.00000,5206034.00000
48,605379.000000000000000,605879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,605629.00000,5206034.00000
49,605879.000000000000000,606379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,606129.00000,5206034.00000
50,606379.000000000000000,606879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,606629.00000,5206034.00000
51,606879.000000000000000,607379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,607129.00000,5206034.00000
52,607379.000000000000000,607879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,607629.00000,5206034.00000
53,607879.000000000000000,608379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,608129.00000,5206034.00000
54,608379.000000000000000,608879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,608629.00000,5206034.00000
55,608879.000000000000000,609379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,609129.00000,5206034.00000
56,609379.000000000000000,609879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,609629.00000,5206034.00000
57,609879.000000000000000,610379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,610129.00000,5206034.00000
58,610379.000000000000000,610879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,610629.00000,5206034.00000
59,610879.000000000000000,611379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,611129.00000,5206034.00000
60,611379.000000000000000,611879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,611629.00000,5206034.00000
61,611879.000000000000000,612379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,612129.00000,5206034.00000
62,612379.000000000000000,612879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,612629.00000,5206034.00000
63,612879.000000000000000,613379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,613129.00000,5206034.00000
64,613379.000000000000000,613879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,613629.00000,5206034.00000
65,613879.000000000000000,614379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,614129.00000,5206034.00000
66,614379.000000000000000,614879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,614629.00000,5206034.00000
67,614879.000000000000000,615379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,615129.00000,5206034.00000
68,615379.000000000000000,615879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,615629.00000,5206034.00000
69,615879.000000000000000,616379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,616129.00000,5206034.00000
70,616379.000000000000000,616879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,616629.00000,5206034.00000
71,616879.000000000000000,617379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,617129.00000,5206034.00000
72,617379.000000000000000,617879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,617629.00000,5206034.00000
73,617879.000000000000000,618379.000000000000000,5205784.000000000000000,5206284.000000000000000,0,618129.00000,5206034.00000
74,618379.000000000000000,618879.000000000000000,5205784.000000000000000,5206284.000000000000000,0,618629.00000,5206034.00000
75,581379.000000000000000,581879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,581629.00000,5205534.00000
76,581879.000000000000000,582379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,582129.00000,5205534.00000
77,582379.000000000000000,582879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,582629.00000,5205534.00000
78,582879.000000000000000,583379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,583129.00000,5205534.00000
79,583379.000000000000000,583879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,583629.00000,5205534.00000
80,583879.000000000000000,584379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,584129.00000,5205534.00000
81,584379.000000000000000,584879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,584629.00000,5205534.00000
82,584879.000000000000000,585379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,585129.00000,5205534.00000
83,585379.000000000000000,585879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,585629.00000,5205534.00000
84,585879.000000000000000,586379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,586129.00000,5205534.00000
85,586379.000000000000000,586879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,586629.00000,5205534.00000
86,586879.000000000000000,587379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,587129.00000,5205534.00000
87,587379.000000000000000,587879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,587629.00000,5205534.00000
88,587879.000000000000000,588379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,588129.00000,5205534.00000
89,588379.000000000000000,588879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,588629.00000,5205534.00000
90,588879.000000000000000,589379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,589129.00000,5205534.00000
