time,lat,long,hPa,Kt.wind,level
2017090903,12.6,146.8,1006,30,2
2017090906,13.5,146.1,1006,30,2
2017090909,14,144.7,1006,30,2
2017090912,14.7,144.5,1006,30,2
2017090915,15.3,144.4,1006,30,2
2017090918,15.3,143.7,1006,30,2
2017090921,15.4,143.2,1004,35,3
2017091000,15.5,142.5,1004,35,3
2017091003,15.6,141.8,1002,35,3
2017091006,15.6,140.9,1002,35,3
2017091009,15.5,140.4,996,40,3
2017091012,15.6,140.2,996,40,3
2017091015,16.3,139.8,996,40,3
2017091018,16.6,139,996,40,3
2017091021,16.7,138.2,992,45,3
2017091100,17,137.8,992,45,3
2017091103,17.1,137.4,990,50,4
2017091106,17.3,136.6,990,50,4
2017091109,17.7,136.1,975,65,5
2017091112,18.1,135.3,975,65,5
2017091115,18.6,134.6,975,65,5
2017091118,18.8,134.4,975,65,5
2017091121,19,133.8,975,65,5
2017091200,19.4,133.3,975,65,5
2017091203,19.8,132.5,975,65,5
2017091206,20.9,131.5,975,65,5
2017091209,21.1,130.7,975,65,5
2017091212,21.9,129.8,970,70,5
2017091215,22.1,128.7,965,75,5
2017091218,22.3,128.1,965,75,5
2017091221,22.9,127.8,965,75,5
2017091300,23.3,127.3,965,75,5
2017091303,23.6,126.8,965,75,5
2017091306,24,126.6,965,75,5
2017091309,24.4,126.3,965,75,5
2017091312,24.6,126,965,75,5
2017091315,25,125.8,965,75,5
2017091318,25.3,125.7,950,85,5
2017091321,25.5,125.5,950,85,5
2017091400,25.7,125.1,950,85,5
2017091403,26.1,124.9,940,90,5
2017091406,26.3,124.7,940,90,5
2017091409,26.7,124.5,935,95,5
2017091412,26.9,124.4,935,95,5
2017091415,27.1,124.2,935,95,5
2017091418,27.2,124.3,935,95,5
2017091421,27.3,124.4,935,95,5
2017091500,27.6,124.5,935,95,5
2017091503,27.7,124.5,935,95,5
2017091506,27.9,124.7,935,95,5
2017091509,28.1,124.8,935,95,5
2017091512,28.3,124.8,935,95,5
2017091515,28.3,124.8,950,85,5
2017091518,28.6,125.2,950,85,5
2017091521,28.8,125.3,950,85,5
2017091600,29,125.6,950,85,5
2017091603,29.2,125.8,950,85,5
2017091606,29.2,125.9,950,85,5
2017091609,29.2,125.9,955,80,5
2017091612,29.2,126.2,955,80,5
2017091615,29.2,126.7,965,70,5
2017091618,29.2,127.2,965,70,5
2017091621,29.4,127.5,965,70,5
2017091700,29.7,128,965,70,5
2017091703,30.1,128.9,970,65,5
2017091706,30.4,129.5,970,65,5
2017091709,30.8,130.1,975,60,4
2017091712,31.5,130.7,975,60,4
2017091715,32.5,132.1,975,60,4
2017091718,33.3,133.2,975,60,4
2017091721,34.4,134.6,975,60,4
2017091800,36,136.5,980,55,4
2017091803,37.6,138.4,980,50,4
2017091806,39.9,139.4,975,55,4
2017091809,41.2,139.7,975,60,4
2017091812,42.5,140.8,975,60,4
2017091815,44.3,142.3,975,60,4
2017091818,45.8,141.8,975,60,4
2017091821,47,143,976,60,6
